Date,123,124,125,126,127,128,129,130,131,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422
0000,104.19,106.76,95.37,101.66,100.41,463.28,624.14,116.36,96.72,93.7,105.07,91.58,104.74,961.13,101.01,100.63,127.29,96.22,651.62,139.89,730.5,106.11,637.54,95.88,93.98,99.15,92.15,92.82,99.89,554.38,94.88,114.32,125.31,95.86,849.83,98.4,754.77,87.67,98.11,1102,99.6,97.58,93.85,99.6,97.66,94.07,94.92,95.18,595.23,86.91,99.7,102.32,698.12,90.17,91.59,94.5,108.47,107,103.9,99.55,89.95,97.5,94.53,105.11,111.85,97.48,94.08,114.97,117.91,123.98,670.73,101.33,93.13,92.13,91.18,89.28,87,97.13,123.28,94.67,95.84,98.29,91.49,90.43,95.07,94.97,98.29,91.7,95.45,95.85
0001,97.25,94.7,101.62,97.18,84.49,119.58,145.05,448.03,88.7,90.02,84.86,93.47,339.79,92.01,90.19,95.11,214.71,92.79,610.59,103.59,545.74,107.89,97.55,93.22,96.06,94.62,1015,100.13,92.78,104.59,95.52,93.27,94.24,96.97,93.21,97.63,94.61,90.67,89.79,520.92,98.74,541.4,108.16,93.92,94.33,437.47,92.78,97.81,91.61,98.15,98.25,96.54,473.14,482.38,95.04,87.89,89.73,93.97,101.29,93.01,453.18,97.53,443.86,89.13,122.35,94.65,91.55,90.16,116.8,121.97,123.79,93.95,538.91,88.81,97.69,93.87,528.47,88.03,92.1,535.34,107.85,351.35,613.04,90.48,537.3,87.95,93.86,92.75,94.53,100.23
0002,92.74,90.42,97.03,107.66,91.34,128.08,783.07,121,76.16,88.69,615.77,94.2,406.98,87.89,90.45,227.11,222.19,97.29,96.05,102.19,97.27,102.57,90.6,91.67,96.79,96.69,90.69,560.91,89.56,106.12,90.81,95.62,93.64,99.78,94.71,88.58,96.06,94.21,534.87,504.21,91.85,587.85,111.89,93.27,95.49,90.19,92.95,93.29,93.03,98.69,512.55,94.27,91.19,473.78,94.21,94.78,97.89,91.79,91.97,92.67,89.52,111.32,95.7,88.08,87.68,743.98,91.34,446.59,121.64,126.58,123.56,87.87,94.76,93.67,89.76,94.86,92.83,89.65,98.71,94.3,93.46,87.43,97.24,91.89,92.56,93.47,89.66,94.45,98.93,89.91
0003,92.23,99.12,581.06,92.02,85.36,127.44,372.32,128.99,83.03,101.12,92.66,403.79,92.5,355.1,100.83,100.15,93.79,100.11,93.78,109.92,111.68,91.92,95.79,97.49,108.86,92.25,93.58,97.82,92.49,90.06,102.31,91.5,101.15,93.96,94.36,440.22,482.82,557.94,97.27,90.63,102.49,91.66,106.81,427.77,92.17,101.68,100.87,102.73,1421.4,94.48,97.92,100.86,96.59,93.46,92.15,93.71,99.01,102.93,88.47,97.53,93.47,94.88,89.32,89.83,100.37,493.4,538.36,87.76,118.22,138.28,123.25,87.43,479.64,95.23,465.06,94.71,99.56,94.26,90.57,91.09,92.73,91.83,97.85,460.4,602.24,93.36,92.43,90.51,85.48,98.36
0004,95.67,102.51,100.11,92.38,94.86,123.43,133.86,131.6,89.8,373.42,92.32,91.51,94.53,93.12,463.99,102.64,239.67,94.52,605.66,100.21,518.64,94.92,102.14,107.1,103.04,99.92,101.31,91.04,103.15,629.31,99.21,96.67,93.4,87.96,90.79,103.77,115.87,95.51,108.1,102.93,97.78,104.45,146.69,544.57,99.42,113.11,109.6,97.13,106.64,91.15,96.11,93.34,95.94,113.4,113.05,91.94,95.97,92.94,97.72,522.58,460.65,97.73,107.61,105.36,92.96,98.96,93.55,85.89,131.82,131.65,128.9,86.2,97.26,98.26,95.85,94.06,96.06,99.97,87.48,102.54,104.78,96.36,92.78,91.42,112.68,101.54,94.98,97.98,92.81,93.14
0005,7118.9,93.59,96.76,100.38,90.23,124.21,424.7,600.37,93.97,102.69,91.16,100.5,96.29,94.79,100.5,249.94,106.42,105.65,97.1,95.53,129.22,101.27,810.16,99.15,98.65,477.5,87.67,97.79,104.21,102.81,502.28,93.92,107.54,106.05,104.12,574.62,94.26,540.24,100.86,94.12,95.38,94.47,123.41,119.41,114.42,101.1,665.6,588.74,106.17,97.13,99.02,95.91,98.96,481.86,124.35,99.48,101.89,94.08,578.08,94.99,87.69,99.32,100.52,133.34,440.3,96.1,97.75,88.55,161.94,434.24,126.85,80.47,98.71,426.59,99.17,100.41,92.37,521.5,94.21,95.09,91.86,94.12,150.06,128.41,101.45,96.69,664.77,96.95,100.59,92.63
0006,5836.4,98.98,99.29,94.91,85.08,121.51,127.27,383.43,81.01,96.39,100.16,98.89,99.89,95.61,97.71,99.99,101.76,100.3,97.12,121.26,750.63,96.63,693.13,549.39,105.96,97.48,107.66,90.69,96.77,91.68,94.87,109.95,101.22,96.08,470.07,98.37,94.03,106.15,540.39,96.7,95,95.28,99.63,95.17,111.57,109.49,123.27,97.34,113.91,92.1,99.27,93.15,391.81,503.09,102.26,616.97,95.72,92.26,93.15,99.65,90.83,106.79,95.09,100.02,91,541.22,102.67,89.96,137.1,127.35,549.41,87.47,100.29,152.33,100.95,94.18,100.1,615.55,609.99,99.28,104.23,96.06,99.83,101.33,97.48,93.56,109.26,94.63,121.84,101.49
0007,95.84,105.48,565.33,95.58,91.25,124.64,130.01,133.07,86.13,434.98,96.35,96.31,449.46,101.13,94.17,100.52,103.66,96.57,109.42,110.72,99.28,637.28,101.09,95.82,108.97,97.54,122.1,94.25,467.09,90.98,97.28,90.41,102.49,94.57,97.59,571.85,423.9,94.25,100.45,95.07,99.14,95.85,104.14,872.41,533.23,107.04,106.76,91.54,102.21,94.36,99.02,97.63,95.49,410.23,605.49,93.76,92.7,97.29,92.17,94.56,94.45,115.75,101.37,98.12,460.31,99.71,94.23,485.89,571.51,1280.9,136.91,96.06,100.7,108.03,95.57,99.81,107.43,91.92,97.81,96.99,134,429.61,103.29,108.04,95.69,102.49,97.81,95.58,747.34,95.06
0008,95.94,110.86,105.81,99.86,89.75,136.17,125.62,143.85,99.27,93.53,101.93,95.73,98.72,585.87,96.59,107.29,95.17,111.44,100.9,113.79,100.05,90.37,702.44,102.16,667.33,95.39,96.67,544.91,100.99,93.58,99.1,101.44,95.14,93.88,95.24,101.04,100.83,97.44,97.95,104.31,92.3,568.23,112.92,101.6,98.12,492.55,93.55,528.47,106.38,98.27,92.88,98.99,101.33,108.07,96.4,96.69,93.49,96.91,94.95,98.85,494.1,98.34,107.81,500.1,99.45,94.57,100.75,93.82,130.57,1376.5,150.74,82.26,87.88,108.91,518.2,109.17,118.6,93.54,103.66,108.63,92.95,100.24,103.11,90.99,108.69,99.18,101.77,111.76,103.91,99.3
